n_a,n_b,successes,trials,estimate,cost_weight,cost_yuan,a_cost_yuan,b_cost_yuan,a_volume_um3,b_volume_um3,total_volume_um3,a_volume_percent,b_volume_percent,total_volume_percent,cp_one_sided_95_lower,cp_one_sided_family_lower,family_size
538,812,45000,50000,0.9,357014,9.346604663572553,7.986085605057933,1.3605190585146196,7.605795814340889,27.210381170292397,34.81617698463329,0.7605795814340888,2.7210381170292397,3.481617698463329,0.8977660037689393,0.8977660037689393,1
537,826,45010,50000,0.9002,357343,9.355217863431145,7.971241579769721,1.3839762836614236,7.5916586473997345,27.679525673228476,35.27118432062821,0.7591658647399735,2.7679525673228476,3.527118432062821,0.8979679579367683,0.8979679579367683,1
536,839,45010,50000,0.9002,357608,9.362155547207822,7.9563975544815095,1.4057579927263126,7.57752148045858,28.115159854526258,35.69268133498484,0.757752148045858,2.811515985452626,3.569268133498484,0.8979679579367683,0.8979679579367683,1
535,851,45006,50000,0.90012,357809,9.367417714902585,7.941553529193298,1.4258641857092873,7.563384313517426,28.51728371418575,36.080668027703176,0.7563384313517426,2.851728371418575,3.6080668027703178,0.8978871759423113,0.8978871759423113,1
534,863,45002,50000,0.90004,358010,9.372679882597348,7.926709503905086,1.445970378692262,7.549247146576272,28.919407573845245,36.46865472042152,0.7549247146576272,2.891940757384525,3.646865472042152,0.8978063943843658,0.8978063943843658,1
533,873,45012,50000,0.90024,358083,9.374591018128282,7.911865478616875,1.4627255395114076,7.535109979635118,29.254510790228156,36.78962076986328,0.7535109979635118,2.9254510790228156,3.678962076986328,0.8980083490978338,0.8980083490978338,1
532,885,45003,50000,0.90006,358284,9.379853185823045,7.897021453328662,1.4828317324943823,7.520972812693964,29.65663464988765,37.17760746258161,0.7520972812693963,2.965663464988765,3.717760746258161,0.897826589732955,0.897826589732955,1
531,900,45010,50000,0.9002,358677,9.39014190176355,7.882177428040451,1.5079644737231006,7.50683564575281,30.159289474462017,37.66612512021483,0.7506835645752811,3.0159289474462017,3.766612512021483,0.8979679579367683,0.8979679579367683,1
530,911,45002,50000,0.90004,358814,9.3937285533764,7.867333402752239,1.5263951506241606,7.492698478811656,30.527903012483222,38.020601491294876,0.7492698478811656,3.052790301248322,3.8020601491294874,0.8978063943843658,0.8978063943843658,1
529,923,45003,50000,0.90006,359015,9.398990721071163,7.852489377464027,1.5465013436071353,7.478561311870502,30.930026872142715,38.40858818401322,0.7478561311870502,3.0930026872142715,3.840858818401322,0.897826589732955,0.897826589732955,1
528,935,45000,50000,0.9,359216,9.404252888765926,7.837645352175816,1.56660753659011,7.464424144929348,31.33215073180221,38.796574876731555,0.7464424144929347,3.133215073180221,3.8796574876731555,0.8977660037689393,0.8977660037689393,1
527,948,45008,50000,0.90016,359481,9.411190572542603,7.822801326887603,1.5883892456549993,7.450286977988194,31.76778491309999,39.21807189108819,0.7450286977988194,3.176778491309999,3.921807189108818,0.8979275668849466,0.8979275668849466,1
526,959,45002,50000,0.90004,359618,9.41477722415545,7.807957301599392,1.6068199225560595,7.43614981104704,32.136398451121195,39.57254826216823,0.7436149811047039,3.2136398451121195,3.9572548262168232,0.8978063943843658,0.8978063943843658,1
525,970,45002,50000,0.90004,359755,9.4183638757683,7.79311327631118,1.6252505994571196,7.422012644105886,32.505011989142396,39.92702463324828,0.7422012644105885,3.2505011989142396,3.992702463324828,0.8978063943843658,0.8978063943843658,1
